class,subject,term,week,topic,learningObjectives,contents,teacherActivities,learnerActivities,teachingMaterials,assessment
Primary 5,English Language,First Term,1,Revision,Answer questions on previously taught topics,"Revision of past tense of common verbs (eat, dance, drink, cry, work, forget)",Revises previously taught topics with pupils | Guides pupils through past-tense exercise,Write out the past tense of given verbs | Answer revision questions,"Pictures, charts and textbook | Nigeria Primary English Book 5","Write out the past tense of: eat, dance, drink, cry, work, forget"
Primary 5,English Language,First Term,2,"Reading: New Words, Meaning and Comprehension (""The Stone Cutter""); Punctuation Marks",Read and comprehend the passage | Learn new words | Use the correct forms of tenses in sentences,"Comprehension passage: 'The Stone Cutter' | New words: pounding, sticky, contented, dissatisfied, possession | Punctuation marks: full stop, comma, apostrophe, exclamation mark, semicolon, capital letters, question mark",Reads the passage 'The Stone Cutter' with pupils | Explains new vocabulary and their meanings | Teaches punctuation marks with examples,Read the passage carefully and answer comprehension questions | Fill in gaps with words from the passage | Write a composition on 'How I Spent My Last Holiday',"Pictures, charts and textbook | Nigeria Primary English Book 5",Answer comprehension questions on 'The Stone Cutter' | Write a composition on 'How I Spent My Last Holiday'
Primary 5,English Language,First Term,3,Speech Work: Passive Voice; Grammar: Relative Clauses; Writing: Abbreviated Letters (Telegrams),"Change sentences in active voice to passive voice | Correctly use 'who', 'which', 'that' | Write abbreviated forms of letters","Active and passive voice construction | Relative clauses using 'who', 'which', 'that' | Abbreviated forms of letters (telegrams) - short forms without addresses or titles",Explains active and passive voice with examples | Teaches use of relative clauses to join sentences | Demonstrates writing abbreviated telegram-style letters,"Practice changing active sentences to passive voice | Combine sentence pairs using 'who', 'which', 'that' | Practice writing telegram messages","Pictures, charts and textbook | Nigeria Primary English Book 5","Write pairs of sentences as one sentence using 'who', 'which', or 'that'"
Primary 5,English Language,First Term,4,Speech Work: Intonation Practice; Grammar: Major and Minor Characters; Writing: 'My Best Friend',"Use the correct intonation in statements, commands and requests | Learn new words | Explain the concept of major and minor characters | Write a composition on the topic 'My Best Friend'","Intonation: falling and rising reading tone in statements, questions, requests | Major and minor characters in a story","Demonstrates correct intonation for statements, questions and requests | Explains major and minor characters using story examples",Practice using arrows to indicate appropriate intonation for given sentences | Write a composition titled 'My Best Friend',"Pictures, charts and textbook | Nigeria Primary English Book 5","Using an arrow, indicate the appropriate intonation for given sentences"
Primary 5,English Language,First Term,5,Speech Work: Poem on Good Neighborliness; Grammar: Formal Letters; Writing: Features of Formal and Informal Letters,Read and comprehend a poem | Learn new words | State the features of a formal letter | Write a formal letter,"Poem: 'The girl who was too busy chatting' (good neighborliness/road safety theme) | New words: different, attention, chatting, conversation, cross, happened, imaginable, lumps, bump, clumps, bandaged | Features of formal and informal letters | Formal letter to a village head or constituted authority","Reads the poem with pupils, taking turns for different lines | Explains new vocabulary | Teaches features of formal vs informal letters",Find dictionary meanings of new words and use them in sentences | Write a letter to a village head requesting road repairs | State differences between formal and informal letters,"Pictures, charts and textbook | Nigeria Primary English Book 5",Find dictionary meanings of given words and use each in a sentence | Write a letter to your village head requesting that the road to your village be repaired | What are the differences between a formal and an informal letter?
Primary 5,English Language,First Term,6,Speech Work: Polite Requests; Structure: Reported Speech; Writing: Formal Invitation,Make polite requests | Change direct speech to reported speech | Learn new words | Design a formal invitation,"Making polite requests versus rude/impolite requests | Direct speech (quotes exact words) versus indirect/reported speech (reports what was said, not exact words)",Models polite versus rude conversation for comparison | Explains direct and indirect (reported) speech | Shows a sample formal invitation,"Practice reading polite and impolite conversations in pairs | Design a formal invitation, looking carefully at the sample provided","Pictures, charts and textbook | Nigeria Primary English Book 5",Look at the sample invitation carefully and design a formal invitation
Primary 5,English Language,First Term,7,Speech Work: Telephone Conversation; Structure: Intonation; Grammar: Formal vs Informal Letters; Writing: Guided Composition on Bicycle,Carry out a telephone conversation | Compare and contrast polite and rude intonation | Compare formal and informal letters | Write a guided composition on bicycles,Common words and expressions used in telephone conversations | Comparing polite versus rude intonation in dialogue | Sample formal and informal letters compared,Teaches common telephone conversation phrases | Guides pupils to compare formal and informal letter samples,Role-play a telephone conversation dialogue in pairs (caterpillar and butterfly play) | Write a letter to a classmate declining a birthday party invitation,"Pictures, charts and textbook | Nigeria Primary English Book 5",Write a letter to your classmate telling him/her that you will not be attending his/her birthday party
Primary 5,English Language,First Term,8,Speech Work: Intonation Practice; Grammar: Opposites/Antonyms; Writing: Abbreviated Letter (Telegram),Read with the appropriate intonation | Learn new words | Write the opposites of given words | Write a telegram,"Dialogue on internet and search engines (Hakeem and Ejike conversation) | New words: compiled, internet, visitor, designed, engine, website, easier, information | Antonyms/opposites of given words",Models the dialogue with correct intonation for pupils to practice | Explains new vocabulary and antonyms,Practice the dialogue in pairs with correct intonation | Find dictionary meanings of vocabulary words and use them in sentences | Write a telegram to a friend about bringing a maths note to school | Match words with their opposites,"Pictures, charts and textbook | Nigeria Primary English Book 5","Who visited Ejike's school? | What did the visitor talk about? | Mention three search engines given in the passage | What is a search engine? | How can you use a search engine? | Are search engines insects? | Write a telegram to your friend, telling him/her to bring your maths note to school | Write out the antonyms of given words"
Primary 5,English Language,First Term,9,Speech Work: Reports of Statements/Commands/Questions; Grammar: Question Tags; Writing: Describing a House,"Make reports of commands, questions and statements | Build sentences and learn new words | Read question tags with the appropriate intonation | Describe a house","Making reports of statements, commands, and questions (changing reports to direct speech) | Question tags and their correct intonation | Describing a house",Explains how to convert direct statements/commands/questions into reported speech | Teaches question tags with intonation practice,Complete statements with appropriate question tags | Practice describing their own house,"Pictures, charts and textbook | Premier Primary English Book 5",Complete the given statements with the appropriate question tags
